signal,horizon,ic,oos_r2,oos_ic,p_value_ic,a_s_cost_bps,expected_return_bps,survival,n_obs
williams_r_14,1hour,-0.018595608423524458,-0.0005384000238015663,-0.011951649204887851,0.0,7.447818472546172,-1.4457537913923821,False,906910
atr_14,1hour,0.013795937667102296,-0.0024165085368614836,0.01465935201507661,0.0,7.447818472546172,1.072588933754249,False,906878
atr_28,1hour,0.009220843815146899,-0.0013947581116069419,0.01019860494412181,0.0,7.447818472546172,0.7167974950723902,False,906400
bb_upper,1hour,-0.006073364791221208,-0.0006185534015574756,-0.015166272664120822,7.3305570502668616e-09,7.447818472546172,-0.47214970501817805,False,906706
bb_mid,1hour,-0.006221193791479535,-0.0007167671060410719,-0.015539131042321363,3.1432008107401543e-09,7.447818472546172,-0.48364208548015697,False,906706
bb_lower,1hour,-0.006369907993731788,-0.000823394897193408,-0.01590957368463398,1.3150258659777592e-09,7.447818472546172,-0.4952032824671893,False,906706
bb_width,1hour,0.03768166672519026,0.0007850031120004708,0.029671865340407253,0.0,7.447818472546172,2.9294120212585573,False,906706
bb_percent_b,1hour,-0.016993126219071834,-0.0004942245517585153,-0.0088331734875935,0.0,7.447818472546172,-1.3210633326798964,False,906706
natr_14,1hour,0.040978711868747776,1.5048264123129762e-05,0.024314870581288665,0.0,7.447818472546172,3.1859605291442814,False,906878
obv,1hour,0.0036942289879026763,-3.717025645166849e-05,0.0031108151697281875,0.00043321431008624955,7.447818472546172,0.28721862632281925,False,907368
obv_roc,1hour,-0.00590945174157521,-6.341593511893784e-05,0.017184953583976773,1.8118767153296744e-08,7.447818472546172,-0.45944733924750947,False,907344
mfi_14,1hour,0.004044584210213909,-0.0002805492930952891,-0.004950048276711041,0.00012299607058463558,7.447818472546172,0.3135308478619145,False,901425
cmf_20,1hour,-0.018383345833528884,-0.0007512653781200918,-0.010246027121439155,0.0,7.447818472546172,-1.4153550567397664,False,895334
volume_sma_10,1hour,0.010791177187743079,0.0002284653038920892,0.028632071977342587,0.0,7.447818472546172,0.8373989123902157,False,902743
volume_ratio_10,1hour,0.0020279764059634416,-0.0001110790491136715,-0.0003360906453510026,0.05400004045982798,7.447818472546172,0.15737163862305,False,902743
volume_sma_20,1hour,0.008766877349435638,0.00014717858859703004,0.02604641816801395,0.0,7.447818472546172,0.679074995004353,False,900345
